"","sample_id","genotype","block_number","replica_number","dev_stage","dev_group","leaf_number","leaf_zone","dag","tissue_designation","developmental_stage_dap","variable","value"
"23625","D11B213T","B73",1,2,11,">9",13,"Tip",57,"B73_13_11",58,"TG_52_1_16_0_18_0_18_1",2353
"23626","D11P113T","PT",1,1,14,">9",13,"Tip",57,"PT_13_14",58,"TG_52_1_16_0_18_0_18_1",1806
"23627","D11P213T","PT",1,2,14,">9",13,"Tip",57,"PT_13_14",58,"TG_52_1_16_0_18_0_18_1",6369
"23628","D11C113T","CML312",1,1,14,">9",13,"Tip",57,"CML312_13_14",58,"TG_52_1_16_0_18_0_18_1",4479
"23629","D11C213T","CML312",1,2,11,">9",13,"Tip",57,"CML312_13_11",58,"TG_52_1_16_0_18_0_18_1",2328
"23630","D12B14A","B73",2,1,10,">9",4,"Along",49,"B73_4_10",50,"TG_52_1_16_0_18_0_18_1",5550
"23631","D12B24A","B73",2,2,9,"7-9",4,"Along",49,"B73_4_9",50,"TG_52_1_16_0_18_0_18_1",5973
"23632","D12C14A","CML312",2,1,10,">9",4,"Along",49,"CML312_4_10",50,"TG_52_1_16_0_18_0_18_1",4105
"23633","D12C24A","CML312",2,2,11,">9",4,"Along",49,"CML312_4_11",50,"TG_52_1_16_0_18_0_18_1",3394
"23634","D12P14A","PT",2,1,8,"7-9",4,"Along",49,"PT_4_8",50,"TG_52_1_16_0_18_0_18_1",38863
"23635","D12P24A","PT",2,2,12,">9",4,"Along",49,"PT_4_12",50,"TG_52_1_16_0_18_0_18_1",5786
"23636","D12B15A","B73",2,1,9,"7-9",5,"Along",49,"B73_5_9",50,"TG_52_1_16_0_18_0_18_1",4980
"23637","D12B25A","B73",2,2,9,"7-9",5,"Along",49,"B73_5_9",50,"TG_52_1_16_0_18_0_18_1",5042
"23638","D12P15A","PT",2,1,8,"7-9",5,"Along",49,"PT_5_8",50,"TG_52_1_16_0_18_0_18_1",18851
"23639","D12P25A","PT",2,2,12,">9",5,"Along",49,"PT_5_12",50,"TG_52_1_16_0_18_0_18_1",12972
"23640","D12C15A","CML312",2,1,10,">9",5,"Along",49,"CML312_5_10",50,"TG_52_1_16_0_18_0_18_1",4213
"23641","D12C25A","CML312",2,2,11,">9",5,"Along",49,"CML312_5_11",50,"TG_52_1_16_0_18_0_18_1",14924
"23642","D12B27A","B73",2,2,9,"7-9",7,"Along",49,"B73_7_9",50,"TG_52_1_16_0_18_0_18_1",5211
"23643","D12B17A","B73",2,1,9,"7-9",7,"Along",49,"B73_7_9",50,"TG_52_1_16_0_18_0_18_1",4473
"23644","D12C17A","CML312",2,1,10,">9",7,"Along",49,"CML312_7_10",50,"TG_52_1_16_0_18_0_18_1",3116
"23645","D12C27A","CML312",2,2,11,">9",7,"Along",49,"CML312_7_11",50,"TG_52_1_16_0_18_0_18_1",4258
"23646","D12P17A","PT",2,1,8,"7-9",7,"Along",49,"PT_7_8",50,"TG_52_1_16_0_18_0_18_1",7160
"23647","D12P27A","PT",2,2,12,">9",7,"Along",49,"PT_7_12",50,"TG_52_1_16_0_18_0_18_1",6797
"23648","D12B19A","B73",2,1,9,"7-9",9,"Along",49,"B73_9_9",50,"TG_52_1_16_0_18_0_18_1",3330
"23649","D12B29A","B73",2,2,9,"7-9",9,"Along",49,"B73_9_9",50,"TG_52_1_16_0_18_0_18_1",4177
"23650","D12C19A","CML312",2,1,10,">9",9,"Along",49,"CML312_9_10",50,"TG_52_1_16_0_18_0_18_1",5718
"23651","D12C29A","CML312",2,2,11,">9",9,"Along",49,"CML312_9_11",50,"TG_52_1_16_0_18_0_18_1",12657
"23652","D12P19A","PT",2,1,8,"7-9",9,"Along",49,"PT_9_8",50,"TG_52_1_16_0_18_0_18_1",10533
"23653","D12P29A","PT",2,2,12,">9",9,"Along",49,"PT_9_12",50,"TG_52_1_16_0_18_0_18_1",2695
"23654","D12B111A","B73",2,1,9,"7-9",11,"Along",49,"B73_11_9",50,"TG_52_1_16_0_18_0_18_1",3351
"23655","D12B211A","B73",2,2,9,"7-9",11,"Along",49,"B73_11_9",50,"TG_52_1_16_0_18_0_18_1",2875
"23656","D12P111A","PT",2,1,8,"7-9",11,"Along",49,"PT_11_8",50,"TG_52_1_16_0_18_0_18_1",2411
"23657","D12P211A","PT",2,2,12,">9",11,"Along",49,"PT_11_12",50,"TG_52_1_16_0_18_0_18_1",3119
"23658","D12C111A","CML312",2,1,10,">9",11,"Along",49,"CML312_11_10",50,"TG_52_1_16_0_18_0_18_1",3318
"23659","D12C211A","CML312",2,2,11,">9",11,"Along",49,"CML312_11_11",50,"TG_52_1_16_0_18_0_18_1",4117
